variable,importance,coefficient,cost,lift,match_rate,base_variable,expected_lift,cost_effectiveness
BUBBLES_Senior Discount,0.31636006580829856,-0.31636006580829856,1,0.31636006580829856,,BUBBLES,0.002480528251991547,
Modern_Contemporary_Decor_and_Gifts_Recency_of_Purchase,0.30434358414132384,-0.30434358414132384,1,0.30434358414132384,,Modern_Contemporary_Decor_and_Gifts_Recency_of_Purchase,0.002386308957314414,
HOME_VALUE_S,0.28835764544458425,0.28835764544458425,1,0.28835764544458425,,HOME_VALUE,0.0022609657902792424,
BUBBLES_Pleasantville,0.2651644415916578,-0.2651644415916578,1,0.2651644415916578,,BUBBLES,0.0020791116195753934,
CREDIT_RATING_F,0.24733926327040423,-0.24733926327040423,1,0.24733926327040423,,CREDIT_RATING,0.0019393472712854617,
BUBBLES_Pickup Trucks and Politics,0.23124560113309836,-0.23124560113309836,1,0.23124560113309836,,BUBBLES,0.0018131594621269434,
NET_WORTH_D,0.2035854019273836,-0.2035854019273836,1,0.2035854019273836,,NET_WORTH,0.0015962803013195056,
BUBBLES_Keeping Up With The Joneses,0.19208959433987657,-0.19208959433987657,1,0.19208959433987657,,BUBBLES,0.0015061435281227603,
AGE_25-34,0.18777711667902994,-0.18777711667902994,1,0.18777711667902994,,AGE,0.00147233008632036,
BUBBLES_Life in the Fast Lane,0.1821588964675122,0.1821588964675122,1,0.1821588964675122,,BUBBLES,0.0014282785277743315,
High_Ticket_Home_Decor_Recency_of_Purchase,0.18202924236660584,-0.18202924236660584,1,0.18202924236660584,,High_Ticket_Home_Decor_Recency_of_Purchase,0.0014272619308803363,
BUBBLES_Greatest Generation,0.17754780859581445,-0.17754780859581445,1,0.17754780859581445,,BUBBLES,0.0013921237314698802,
BUBBLES_Jet Setters,0.1738757657338107,0.1738757657338107,1,0.1738757657338107,,BUBBLES,0.0013633318356329267,
CREDIT_RATING_H,0.17126613832994672,-0.17126613832994672,1,0.17126613832994672,,CREDIT_RATING,0.0013428701680519798,
BUBBLES_Modern Family,0.17057196458122714,-0.17057196458122714,1,0.17057196458122714,,BUBBLES,0.0013374272636478151,
HOME_VALUE_D,0.1677456674714588,-0.1677456674714588,1,0.1677456674714588,,HOME_VALUE,0.001315266723848362,
BUBBLES_Family Values,0.16391959343176613,-0.16391959343176613,1,0.16391959343176613,,BUBBLES,0.001285267094390009,
GENDER_M,0.1600650228866236,0.1600650228866236,1,0.1600650228866236,,GENDER,0.0012550440284284717,
Purchase_Date_Range,0.15525836476171323,-0.15525836476171323,1,0.15525836476171323,,Purchase_Date_Range,0.0012173557973110532,
BUBBLES_Social Climbers,0.15503009310725052,0.15503009310725052,1,0.15503009310725052,,BUBBLES,0.001215565956085117,
BUBBLES_Date Nights City Lights,0.15161229280186836,0.15161229280186836,1,0.15161229280186836,,BUBBLES,0.0011887675351292207,
BUBBLES_Not in My Backyard,0.15105097779440044,-0.15105097779440044,1,0.15105097779440044,,BUBBLES,0.0011843663546871395,
BUBBLES_Working for the Weekend,0.1509326093976469,0.1509326093976469,1,0.1509326093976469,,BUBBLES,0.0011834382471791964,
