variable,importance,coefficient,cost,lift,match_rate,base_variable,expected_lift,cost_effectiveness,recommendation
BUBBLES_Senior Discount,0.3163600658082985,-0.3163600658082985,1,0.3163600658082985,,BUBBLES,0.0024805282519915,,Premium Variables (Very High Impact)
Modern_Contemporary_Decor_and_Gifts_Recency_of_Purchase,0.3043435841413238,-0.3043435841413238,1,0.3043435841413238,26.311598690613113,Modern_Contemporary_Decor_and_Gifts_Recency_of_Purchase,0.0023863089573144,,Premium Variables (Very High Impact)
HOME_VALUE_S,0.2883576454445842,0.2883576454445842,1,0.2883576454445842,,HOME_VALUE,0.0022609657902792,,Premium Variables (Very High Impact)
BUBBLES_Pleasantville,0.2651644415916578,-0.2651644415916578,1,0.2651644415916578,,BUBBLES,0.0020791116195753,,Premium Variables (Very High Impact)
CREDIT_RATING_F,0.2473392632704042,-0.2473392632704042,1,0.2473392632704042,,CREDIT_RATING,0.0019393472712854,,Premium Variables (Very High Impact)
BUBBLES_Pickup Trucks and Politics,0.2312456011330983,-0.2312456011330983,1,0.2312456011330983,,BUBBLES,0.0018131594621269,,Premium Variables (Very High Impact)
NET_WORTH_D,0.2035854019273836,-0.2035854019273836,1,0.2035854019273836,,NET_WORTH,0.0015962803013195,,Premium Variables (Very High Impact)
BUBBLES_Keeping Up With The Joneses,0.1920895943398765,-0.1920895943398765,1,0.1920895943398765,,BUBBLES,0.0015061435281227,,Premium Variables (Very High Impact)
AGE_25-34,0.1877771166790299,-0.1877771166790299,1,0.1877771166790299,,AGE,0.0014723300863203,,Premium Variables (Very High Impact)
BUBBLES_Life in the Fast Lane,0.1821588964675122,0.1821588964675122,1,0.1821588964675122,,BUBBLES,0.0014282785277743,,Premium Variables (Very High Impact)
High_Ticket_Home_Decor_Recency_of_Purchase,0.1820292423666058,-0.1820292423666058,1,0.1820292423666058,42.56723878616297,High_Ticket_Home_Decor_Recency_of_Purchase,0.0014272619308803,,Premium Variables (Very High Impact)
BUBBLES_Greatest Generation,0.1775478085958144,-0.1775478085958144,1,0.1775478085958144,,BUBBLES,0.0013921237314698,,Premium Variables (Very High Impact)
BUBBLES_Jet Setters,0.1738757657338107,0.1738757657338107,1,0.1738757657338107,,BUBBLES,0.0013633318356329,,Premium Variables (Very High Impact)
CREDIT_RATING_H,0.1712661383299467,-0.1712661383299467,1,0.1712661383299467,,CREDIT_RATING,0.0013428701680519,,Premium Variables (Very High Impact)
BUBBLES_Modern Family,0.1705719645812271,-0.1705719645812271,1,0.1705719645812271,,BUBBLES,0.0013374272636478,,Premium Variables (Very High Impact)
HOME_VALUE_D,0.1677456674714588,-0.1677456674714588,1,0.1677456674714588,,HOME_VALUE,0.0013152667238483,,Premium Variables (Very High Impact)
BUBBLES_Family Values,0.1639195934317661,-0.1639195934317661,1,0.1639195934317661,,BUBBLES,0.00128526709439,,Premium Variables (Very High Impact)
GENDER_M,0.1600650228866236,0.1600650228866236,1,0.1600650228866236,,GENDER,0.0012550440284284,,Premium Variables (Very High Impact)
Purchase_Date_Range,0.1552583647617132,-0.1552583647617132,1,0.1552583647617132,87.65814385561356,Purchase_Date_Range,0.001217355797311,,Premium Variables (Very High Impact)
BUBBLES_Social Climbers,0.1550300931072505,0.1550300931072505,1,0.1550300931072505,,BUBBLES,0.0012155659560851,,Premium Variables (Very High Impact)
BUBBLES_Date Nights City Lights,0.1516122928018683,0.1516122928018683,1,0.1516122928018683,,BUBBLES,0.0011887675351292,,Premium Variables (Very High Impact)
BUBBLES_Not in My Backyard,0.1510509777944004,-0.1510509777944004,1,0.1510509777944004,,BUBBLES,0.0011843663546871,,Premium Variables (Very High Impact)
BUBBLES_Working for the Weekend,0.1509326093976469,0.1509326093976469,1,0.1509326093976469,,BUBBLES,0.0011834382471791,,Premium Variables (Very High Impact)
HOMEOWNER_H,0.1473658241972744,-0.1473658241972744,1,0.1473658241972744,,HOMEOWNER,0.0011554716596906,,High-Value Variables (Strong Impact)
HOME_VALUE_C,0.1438175577327309,-0.1438175577327309,1,0.1438175577327309,,HOME_VALUE,0.0011276502746229,,High-Value Variables (Strong Impact)
BUBBLES_Single Sophisticates,0.1436144442515082,0.1436144442515082,1,0.1436144442515082,,BUBBLES,0.0011260576945757,,High-Value Variables (Strong Impact)
NET_WORTH_I,0.141930813115565,0.141930813115565,1,0.141930813115565,,NET_WORTH,0.0011128566143826,,High-Value Variables (Strong Impact)
BUBBLES_Local Legends,0.1418586163829041,-0.1418586163829041,1,0.1418586163829041,,BUBBLES,0.001112290531446,,High-Value Variables (Strong Impact)
BUBBLES_Urban Elites,0.140656848369518,0.140656848369518,1,0.140656848369518,,BUBBLES,0.0011028676622797,,High-Value Variables (Strong Impact)
BUBBLES_Suburban Socialites,0.1319598456784303,-0.1319598456784303,1,0.1319598456784303,,BUBBLES,0.0010346758668717,,High-Value Variables (Strong Impact)
PRES_KIDS_True,0.1312203043553514,-0.1312203043553514,1,0.1312203043553514,,PRES_KIDS,0.001028877242634,,High-Value Variables (Strong Impact)
NET_WORTH_H,0.1283402095301697,0.1283402095301697,1,0.1283402095301697,,NET_WORTH,0.0010062948836248,,High-Value Variables (Strong Impact)
HH_INCOME_P,0.1261177706517762,-0.1261177706517762,1,0.1261177706517762,,HH_INCOME,0.0009888690988245,,High-Value Variables (Strong Impact)
NET_WORTH_A,0.1252332056102706,-0.1252332056102706,1,0.1252332056102706,,NET_WORTH,0.0009819333670008,,High-Value Variables (Strong Impact)
HOME_VALUE_U,0.1219017633351115,0.1219017633351115,1,0.1219017633351115,,HOME_VALUE,0.0009558120654316,,High-Value Variables (Strong Impact)
BUBBLES_Single and Thriving,0.1172474360301444,0.1172474360301444,1,0.1172474360301444,,BUBBLES,0.0009193182357048,,High-Value Variables (Strong Impact)
BUBBLES_Fast Food Families,0.1112481192867016,-0.1112481192867016,1,0.1112481192867016,,BUBBLES,0.0008722785607169,,High-Value Variables (Strong Impact)
HH_INCOME_F,0.1093738568291326,0.1093738568291326,1,0.1093738568291326,,HH_INCOME,0.0008575827710768,,High-Value Variables (Strong Impact)
Kitchen_and_Bath_Recency_of_Purchase,0.1068663155270852,-0.1068663155270852,1,0.1068663155270852,17.8879501017429,Kitchen_and_Bath_Recency_of_Purchase,0.0008379215441553,,High-Value Variables (Strong Impact)
BUBBLES_Downtown Dreamers,0.1048956468836842,0.1048956468836842,1,0.1048956468836842,,BUBBLES,0.0008224698491609,,High-Value Variables (Strong Impact)
BUBBLES_Single and Strategic,0.1040091556444909,0.1040091556444909,1,0.1040091556444909,,BUBBLES,0.0008155190143318,,High-Value Variables (Strong Impact)
HOME_VALUE_H,0.1038210836006396,-0.1038210836006396,1,0.1038210836006396,,HOME_VALUE,0.0008140443717691,,High-Value Variables (Strong Impact)
AGE_18-24,0.1015131837576225,-0.1015131837576225,1,0.1015131837576225,,AGE,0.0007959485013287,,High-Value Variables (Strong Impact)
BUBBLES_Hometown Heroes,0.0965974634584142,0.0965974634584142,1,0.0965974634584142,,BUBBLES,0.0007574051312927,,High-Value Variables (Strong Impact)
PART_AFFILIATION_I,0.0934167878082651,-0.0934167878082651,1,0.0934167878082651,,PART_AFFILIATION,0.0007324659665139,,High-Value Variables (Strong Impact)
PART_AFFILIATION_MISSING,0.0906017218563889,0.0906017218563889,1,0.0906017218563889,,PART_AFFILIATION,0.0007103934884121,,High-Value Variables (Strong Impact)
BUBBLES_Trade School Success Stories,0.0892919855835853,-0.0892919855835853,1,0.0892919855835853,,BUBBLES,0.0007001240575374,,High-Value Variables (Strong Impact)
BUBBLES_Senior Elite,0.0866411201628923,0.0866411201628923,1,0.0866411201628923,,BUBBLES,0.0006793390493175,,High-Value Variables (Strong Impact)
HH_INCOME_H,0.0838723558105406,0.0838723558105406,1,0.0838723558105406,,HH_INCOME,0.0006576296145898,,High-Value Variables (Strong Impact)
BUBBLES_Home for the Holidays,0.0837943171196148,-0.0837943171196148,1,0.0837943171196148,,BUBBLES,0.0006570177258007,,High-Value Variables (Strong Impact)
BUBBLES_Single and Surviving,0.0823753787774705,0.0823753787774705,1,0.0823753787774705,,BUBBLES,0.0006458920591129,,High-Value Variables (Strong Impact)
BUBBLES_Wealth Whispers,0.0799983950162055,-0.0799983950162055,1,0.0799983950162055,,BUBBLES,0.0006272545128117,,High-Value Variables (Strong Impact)
CREDIT_RATING_B,0.079463060753471,-0.079463060753471,1,0.079463060753471,,CREDIT_RATING,0.0006230570431988,,High-Value Variables (Strong Impact)
BUBBLES_Penny Pinching Couples,0.0767264696957296,0.0767264696957296,1,0.0767264696957296,,BUBBLES,0.0006015998740851,,High-Value Variables (Strong Impact)
HH_INCOME_I,0.0729788803553754,0.0729788803553754,1,0.0729788803553754,,HH_INCOME,0.0005722156304958,,High-Value Variables (Strong Impact)
HOME_VALUE_P,0.0721194897595736,-0.0721194897595736,1,0.0721194897595736,,HOME_VALUE,0.0005654772874406,,High-Value Variables (Strong Impact)
