GENDER,HOME_VALUE,HH_INCOME,NET_WORTH,PRES_KIDS,AGE,HOMEOWNER,CREDIT_RATING,PART_AFFILIATION,CONFIDENCE_LEVEL,BUBBLES,Childrens_Recency_of_Purchase,Fashion_Accessories_and_Beauty_Recency_of_Purchase,Female_and_Male_Apparel_Recency_of_Purchase,High_Ticket_Female_Apparel_Acc_Recency_of_Purchase,High_Ticket_Home_Decor_Recency_of_Purchase,Home_Decor_Recency_of_Purchase,Intimate_Apparel_and_Undergarments_Recency_of_Purchase,Kitchen_and_Bath_Recency_of_Purchase,Male_Apparel_Recency_of_Purchase,Modern_Contemporary_Decor_and_Gifts_Recency_of_Purchase,Other_Recency_of_Purchase,Purchase_Date_Range,TARGET
F,S,Q,I,,65-74,H,C,D,0,Country Club Set,,4,2,1,2,2,4,3,5,2,2,1,1
F,L,Q,H,TRUE,55-64,H,C,R,0,Minivans and Malls,,5,5,,2,2,5,5,,3,,2,1
M,S,S,I,TRUE,45-54,H,C,I,0,Lowkey Luxe,,,,,,,,,,,,5,1
F,U,D,G,,65-74,H,E,D,0,Urban Mashup,,3,,2,3,,,5,,3,,2,1
M,U,O,H,,45-54,R,B,D,0,Jet Setters,,,5,,1,5,,3,,1,5,1,1
M,Q,E,I,TRUE,55-64,H,B,D,0,Melting Pot Medley,4,5,5,1,1,5,1,,,3,,1,1
F,S,S,I,TRUE,65-74,H,B,D,0,Wealth Whispers,5,1,3,2,2,5,2,,3,2,3,1,1
M,S,O,G,TRUE,65-74,H,B,U,0,Wealth Whispers,,,5,5,1,1,,,,2,,1,1
M,S,S,I,TRUE,35-44,H,D,L,0,Glitterati,2,,,2,5,5,,,,5,,1,1
F,Q,O,G,TRUE,55-64,H,B,,0,Wealth Whispers,,2,,3,3,3,,,,,,2,1
F,Q,S,I,TRUE,75+,H,C,D,0,Old Money,5,5,,,1,,,4,,1,,1,1
F,G,N,H,TRUE,65-74,H,B,D,0,Affluent Acres,,,5,,2,5,5,,,4,,2,1
F,Q,Q,I,,55-64,H,C,D,0,Jet Setters,3,,5,,,,3,,,,5,1,1
M,Q,S,I,TRUE,65-74,H,C,R,0,Old Money,4,4,4,5,5,,5,5,,5,4,2,1
F,S,Q,I,TRUE,65-74,H,B,R,0,Urban Elites,,5,,5,2,5,5,,,2,,1,1
F,O,O,I,,75+,H,B,D,0,Senior Elite,,,,2,,,,,,,,1,1
F,S,R,I,TRUE,55-64,H,B,D,0,Suburban Socialites,,,,,,,,,,,,,1
M,R,R,I,TRUE,45-54,H,B,R,0,Jet Setters,5,2,,,3,,,3,,4,,2,1
M,M,O,H,TRUE,55-64,H,G,R,0,Wealth Whispers,,1,5,,1,,,4,2,1,,1,1
M,M,J,H,TRUE,65-74,H,C,R,0,Silver Sneakers,,,,,2,2,,,,2,,2,1
F,Q,R,I,TRUE,65-74,H,B,R,0,Wealth Whispers,,3,5,,1,5,,1,2,3,,1,1
M,,A,,,65-74,,,U,0,Mid Century Moderns,,,,,1,,,,,1,5,1,1
F,,,I,TRUE,55-64,H,,D,0,Wealth Whispers,,,3,,2,3,,,1,2,,1,1
F,R,S,H,TRUE,55-64,H,C,R,0,Single and Thriving,,2,4,,,,,,5,,,1,1
F,P,N,H,TRUE,55-64,H,C,R,0,Single Sophisticates,,4,,,1,,,,,1,,1,1
M,Q,R,I,TRUE,45-54,H,C,D,0,Jet Setters,4,2,2,2,2,4,2,,,2,,2,1
F,S,R,I,TRUE,55-64,H,C,,0,Lowkey Luxe,,5,,,5,5,5,,,5,,2,1
F,S,R,I,TRUE,65-74,H,A,D,0,Wealth Whispers,,5,2,2,1,,,4,5,1,,1,1
M,S,R,I,TRUE,65-74,H,D,,0,Old Money,,,,,1,,,,,1,,1,1
M,R,O,I,TRUE,65-74,H,C,D,0,Old Money,,4,,,5,5,2,5,,5,,2,1
F,S,O,I,TRUE,65-74,H,B,D,0,Old Money,,5,,,4,,,4,,,,3,1
M,S,Q,I,TRUE,55-64,H,B,D,0,Single and Thriving,,,,,,,,,5,,,2,1
M,S,Q,I,TRUE,45-54,H,B,D,0,Lowkey Luxe,,,5,,1,4,,,,1,,1,1
F,S,S,I,TRUE,65-74,H,C,,0,Old Money,,2,1,1,1,5,5,2,3,1,5,1,1
M,S,R,I,TRUE,75+,H,C,D,0,Urban Elites,5,,,1,2,,,3,,2,,1,1
F,S,O,I,,65-74,H,B,I,0,Urban Elites,,,5,5,,,5,,,,,5,1
M,S,P,I,TRUE,45-54,H,A,D,0,Jet Setters,,,,2,,,,,,,,2,1
M,S,P,I,TRUE,45-54,H,A,D,0,Jet Setters,,,,2,,,,,,,,2,1
M,S,S,I,,75+,H,C,D,0,Urban Elites,,,,5,2,5,,,,2,,1,1
M,S,Q,I,,65-74,H,B,I,0,Urban Elites,,,,,,,,,,,,2,1
M,S,Q,I,,65-74,H,B,I,0,Urban Elites,,,,,,,,,,,,2,1
M,S,O,I,TRUE,65-74,H,E,R,0,Urban Elites,1,,1,1,1,2,2,,,1,,1,1
M,S,S,I,TRUE,55-64,H,B,D,0,Wealth Whispers,,4,,,1,,,5,,1,,1,1
F,S,S,I,TRUE,75+,H,B,R,0,Urban Elites,,,,,,,,,,,,3,1
F,U,Q,I,,65-74,H,C,D,0,Old Money,2,,,,1,5,,5,,5,,1,1
M,R,S,I,,45-54,H,C,,0,Lowkey Luxe,5,5,,4,1,3,4,2,1,1,3,1,1
F,S,Q,I,TRUE,35-44,H,E,R,0,Life in the Fast Lane,4,,3,3,,,1,,,1,,1,1
M,S,O,I,,55-64,H,B,D,0,Single and Thriving,,,,,,,,,,,,,1
F,S,N,I,TRUE,75+,H,B,,0,Affluent Acres,,,,5,,,5,,,,,2,1
F,S,R,I,TRUE,65-74,H,B,D,0,Hometown Heroes,,5,2,4,4,5,5,5,,4,5,1,1
F,S,R,I,,65-74,H,C,,0,Old Money,5,5,2,2,1,1,,,4,1,,1,1
F,S,R,I,TRUE,65-74,H,D,I,0,Old Money,,5,1,1,1,,5,,,1,,1,1
F,R,S,I,TRUE,25-34,H,B,D,0,Life in the Fast Lane,5,4,,3,2,2,5,2,,2,5,1,1
F,,O,I,,65-74,H,,,0,Wealth Whispers,,3,,,3,,,5,4,3,,1,1
M,U,R,I,,65-74,H,A,R,0,Urban Elites,,5,4,,,,,,,,,3,1
F,S,S,I,TRUE,55-64,H,B,,0,Wealth Whispers,5,5,5,,3,3,,5,5,4,,2,1
F,S,S,I,TRUE,75+,H,C,D,0,Senior Elite,,,,,,,,,,,,5,1
F,S,L,I,,75+,H,A,D,0,Silver Sneakers,,5,2,,1,,,3,,1,4,1,1
F,S,S,I,,75+,H,B,D,0,Senior Elite,,4,3,1,2,,4,5,1,2,5,1,1
M,S,N,E,TRUE,55-64,H,,D,0,Working for the Weekend,,,5,,1,,,,1,1,,1,1
F,S,O,I,TRUE,45-54,H,D,D,0,Lowkey Luxe,,,,,,,,,,,,,1
M,Q,,I,TRUE,55-64,H,C,R,0,Single and Thriving,2,,,,5,,,,,5,,2,1
F,S,S,I,TRUE,45-54,H,B,D,0,Lowkey Luxe,,,,,,,,,,,,5,1
F,N,O,H,TRUE,55-64,H,D,R,0,Single and Thriving,5,,,,2,,,,,2,,1,1
