Field,High,Low
AGE,,
BUBBLES,,
Childrens_Recency_of_Purchase,1,5
CONFIDENCE_LEVEL,,
CREDIT_RATING,A,H
Fashion_Accessories_and_Beauty_Recency_of_Purchase,1,5
Female_and_Male_Apparel_Recency_of_Purchase,1,5
GENDER,,
HH_INCOME,A,S
High_Ticket_Female_Apparel_Acc_Recency_of_Purchase,1,5
High_Ticket_Home_Decor_Recency_of_Purchase,1,5
Home_Decor_Recency_of_Purchase,1,5
HOME_VALUE,A,H
HOMEOWNER,,
INDIVIDUALID,,
Intimate_Apparel_and_Undergarments_Recency_of_Purchase,1,5
Kitchen_and_Bath_Recency_of_Purchase,1,5
Male_Apparel_Recency_of_Purchase,1,5
Modern_Contemporary_Decor_and_Gifts_Recency_of_Purchase,1,5
NET_WORTH,A,I
Other_Recency_of_Purchase,1,5
PART_AFFILIATION,,
PRES_KIDS,,
Purchase_Date_Range,1,5
TARGET,,
