INDIVIDUALID,SCORE,TARGET
1945564523,1155,1
857913293,812,1
610255499,1443,1
931644514,1000,1
331021260,1329,1
2138225070,1448,1
500030492,1453,1
109629242,1443,1
78676395,1641,1
1946914095,1155,1
756309358,1448,1
673049615,1443,1
612757328,1929,1
2482706654,2089,1
1175456908,1635,1
2494452415,1315,1
1579836970,1000,1
1087303398,1000,1
125678399,1155,1
1877422057,1337,1
165816160,1155,1
542162049,1000,1
389063223,1000,1
184644743,1315,1
489601197,1160,1
1087961660,1160,1
1904596452,1329,1
2607086880,1315,1
849757116,1149,1
188241708,1671,1
1839668315,1801,1
155071005,2089,1
766225924,1975,1
141277544,1160,1
169633300,1155,1
128336789,967,1
2301946421,1315,1
1960281021,1309,1
739626563,2089,1
208862652,1641,1
1188873485,1598,1
1150259194,1801,1
406672285,1511,1
666150034,1497,1
2269237678,1337,1
111389068,1337,1
195159217,1929,1
2042649959,1315,1
588856600,1155,1
1069579090,1315,1
62488832,1155,1
7881801,1155,1
141185179,1443,1
175443536,1799,1
12664233,1329,1
2590556004,1777,1
599157581,1315,1
1948459498,1160,1
569560241,1329,1
134060475,1155,1
21970514,1443,1
173953459,1160,1
675265105,2089,1
42331004,1443,1
1343547602,2263,1
416933244,1160,1
71792907,2089,1
2224733652,1155,1
190016737,2271,1
1130886454,1288,1
1802167513,1160,1
406491449,1337,1
2149611373,1823,1
190024950,1155,1
2024749801,1785,1
2970067056,1635,1
633393436,1155,1
829390113,1741,1
227481794,1155,1
1904156379,1641,1
6235701,1497,1
26695972,1801,1
2322987047,1603,1
151172082,1497,1
756530515,1337,1
173346542,1603,1
1604378304,1603,1
185332020,1641,1
98804149,1641,1
1938071876,1741,1
1255538658,1149,1
21499693,1155,1
1133371758,1174,1
2093216336,1641,1
822673919,1641,1
1960575727,1497,1
2231349719,1793,1
850325477,1768,1
1668884652,1337,1
1923131697,1443,1
881189964,1149,1
51511680,1288,1
571537629,1641,1
92799723,1801,1
198603017,1497,1
92873555,1625,1
1029781618,1337,1
38081540,1155,1
160871053,1497,1
2008692422,1448,1
590706381,1160,1
844793659,812,1
397085849,1625,1
402942480,1641,1
701171486,1641,1
1087303398,1000,1
1662769859,1315,1
629631362,1315,1
1341420730,1801,1
209787571,1641,1
1049109604,1155,1
2397714447,1155,1
1174427832,1443,1
1149748902,1641,1
1346276504,1127,1
118069107,1315,1
148123986,1929,1
1948193183,1625,1
52368525,2089,1
606591414,1443,1
407130806,1315,1
2443872245,1437,1
5258667,1337,1
51570873,2089,1
893296939,1443,1
1073310280,1641,1
1371897867,1823,1
2487253134,2111,1
1956536606,1815,1
208376069,1155,1
51832804,1603,1
593951364,967,1
125678399,1155,1
1579836970,1000,1
1877422057,1337,1
1087961660,1160,1
1087303398,1000,1
346493550,1155,1
489601197,1160,1
1929058050,1315,1
542162049,1000,1
188241708,1671,1
26381253,1801,1
1904596452,1329,1
2494452415,1315,1
702136260,1155,1
849757116,1149,1
931644514,1000,1
331021260,1329,1
169299110,2263,1
610255499,1443,1
1152263735,1288,1
1946914095,1155,1
389063223,1000,1
184644743,1315,1
1046306346,1127,1
98369331,1342,1
2138225070,1448,1
148089320,1929,1
141277544,1160,1
500030492,1453,1
109629242,1443,1
573381689,2089,1
593713157,1641,1
7792772,1603,1
606234693,1155,1
307344363,2103,1
69188861,1929,1
2396820658,2103,1
1835716039,1929,1
127917888,1929,1
1362625468,2089,1
1840333923,1497,1
182519884,1329,1
1296252842,1641,1
2313541864,1923,1
2108103223,1329,1
28979566,1337,1
2482706654,2089,1
92360479,2103,1
74393550,1315,1
180919766,1337,1
73329025,1443,1
18192589,1929,1
1081467161,1443,1
372475544,1437,1
2116837391,1815,1
405044939,1641,1
1075503650,2271,1
6184631,1975,1
1915228934,1613,1
168722168,1801,1
1261275955,1337,1
396169659,1174,1
868558384,1337,1
2220040437,1255,1
1262976375,1603,1
44697242,1929,1
775367503,1155,1
60995721,1929,1
193111259,1309,1
2661633056,1337,1
1117850061,1000,1
150044048,1641,1
108642392,1443,1
306101740,908,1
600893666,967,1
1152024051,1127,1
1155234594,1603,1
2397284006,1801,1
563959611,1801,1
6494343,1929,1
197592376,1823,1
1744506148,1641,1
2516577027,1315,1
1266016379,1801,1
856779061,1337,1
218799639,1801,1
1071983056,1929,1
1176007236,1641,1
1914050632,1929,1
2439665877,1000,1
2036273008,1000,1
1230211943,1641,1
571537629,1641,1
125678399,1155,1
2494452415,1315,1
1862498355,1570,1
92873555,1625,1
1087303398,1000,1
1212479694,1315,1
1042134695,1983,1
612218979,1641,1
701171486,1641,1
2166843376,1155,1
331021260,1329,1
173727089,1613,1
1261842039,1000,1
132092747,1462,1
2231349719,1793,1
162909434,1603,1
2008692422,1448,1
163513629,1983,1
285678553,1823,1
132105428,2089,1
400501704,1155,1
1228108304,1155,1
234449246,1801,1
1985628962,1288,1
766094403,1394,1
2299372393,1337,1
2190727998,1315,1
141252689,1000,1
119605216,1975,1
1371216412,1641,1
1366556928,1929,1
98353669,1497,1
111226924,1443,1
85593253,1155,1
2420519885,1000,1
1929792046,2089,1
8573259,1337,1
1850209676,812,1
563529911,1929,1
561910578,2089,1
551151831,1929,1
2048089572,1160,1
50203016,1315,1
182992791,1155,1
234449246,1801,1
179892514,1923,1
2498198428,1603,1
589735187,1823,1
1118764712,1155,1
154931015,1815,1
1081585911,967,1
162602162,1497,1
542162049,1000,1
1877422057,1337,1
2048163364,1000,1
184644743,1315,1
125678399,1155,1
1227100544,1304,1
135933515,1443,1
1057780794,1641,1
1152263735,1288,1
489601197,1160,1
665640603,1641,1
715609327,1155,1
612218979,1641,1
165816160,1155,1
610255499,1443,1
2163266805,1155,1
147302977,1315,1
1953522155,1315,1
1162291218,1823,1
51535389,1777,1
702606881,1801,1
1881320212,1448,1
96017143,1155,1
1175456908,1635,1
1903774511,1337,1
1945505714,1489,1
676822876,994,1
561910578,2089,1
180211944,1617,1
808895131,1641,1
1140609098,1641,1
2199455625,1155,1
612757328,1929,1
1348219667,1315,1
2121962049,1315,1
217822078,1174,1
160600144,1315,1
606678803,1000,1
2027739746,1635,1
806321245,1641,1
394491949,1155,1
1946731623,2271,1
1772610884,1959,1
65931378,1160,1
855173527,1334,1
2520514044,1641,1
1846067448,1801,1
1119876428,1641,1
2114251746,1155,1
238170355,994,1
1264138334,1801,1
1168379619,1801,1
171455995,1337,1
2144426724,1929,1
877058834,2263,1
141062690,1785,1
1742424760,1625,1
858403825,1641,1
67714915,1288,1
8149498,1641,1
2479679340,1641,1
2168952816,1315,1
2936183732,1315,1
502635398,1641,1
1922998431,1000,1
619530848,1603,1
193566643,1929,1
282024884,1929,1
82762259,1801,1
53601192,1288,1
66841184,1443,1
2704246148,1415,1
110710050,1929,1
29663026,1641,1
625550314,1315,1
2588476623,1801,1
1365901931,1443,1
310493001,1160,1
673098432,1149,1
587977401,1929,1
41188209,1975,1
1086109621,1000,1
1371219884,1795,1
860624853,1613,1
289011536,1801,1
2509836107,1641,1
1570768883,1160,1
617804837,1641,1
2809243760,2111,1
23214465,1489,1
1762679354,1801,1
1263684494,1497,1
445154264,1603,1
180021363,1182,1
2483272525,1641,1
592001125,1155,1
2201943532,1929,1
1938717244,1801,1
568880802,1160,1
98369331,1342,1
1262373745,1329,1
346493550,1155,1
50913595,1603,1
2280703663,1000,1
2288796850,1641,1
211102787,1641,1
1276116377,1929,1
2199455625,1155,1
1236610619,812,1
1938719077,1801,1
627622722,1337,1
51198054,2089,1
837727783,1084,1
697016604,1155,1
117875340,1823,1
260882736,1641,1
51391082,2089,1
320777897,1815,1
1946932773,1337,1
2166843376,1155,1
285678553,1823,1
400501704,1155,1
162909434,1603,1
132092747,1462,1
1261842039,1000,1
1018671732,1801,1
92799723,1801,1
1212479694,1315,1
92873555,1625,1
1042134695,1983,1
701171486,1641,1
765100305,967,1
2939189683,967,1
1228108304,1155,1
157029263,1453,1
881189964,1149,1
490108285,1815,1
829838109,1127,1
1120057755,1155,1
2008692422,1448,1
196180560,1155,1
163513629,1983,1
612218979,1641,1
765447309,1777,1
129228960,1155,1
1953522155,1315,1
2121962049,1315,1
612218979,1641,1
2423526583,1160,1
217822078,1174,1
665640603,1641,1
721295784,967,1
1057780794,1641,1
1348219667,1315,1
197488638,1329,1
727092257,1603,1
1623233911,1801,1
1253688414,1155,1
1959339185,1679,1
135933515,1443,1
147302977,1315,1
1225225060,812,1
