n_variables,added_variable,added_variable_importance,added_variable_match_rate,base_variable,cost_per_variable,cumulative_cost,auc_score,top_decile_response,incremental_auc,incremental_response,roi_metric
1,BUBBLES_Senior Discount,0.3163600658082985,,BUBBLES,1.0,1,0.5,0.7840838715385295,0.0,0.0,
2,Modern_Contemporary_Decor_and_Gifts_Recency_of_Purchase,0.3043435841413238,,Modern_Contemporary_Decor_and_Gifts_Recency_of_Purchase,1.0,2,0.6465121285511091,3.0410262081167754,0.14651212855110907,2.2569423365782457,
3,HOME_VALUE_S,0.2883576454445842,,HOME_VALUE,1.0,3,0.6859597124514667,3.018909653875926,0.03944758390035763,-0.02211655424084924,
4,BUBBLES_Pleasantville,0.2651644415916578,,BUBBLES,1.0,4,0.6882858570714644,3.0742010394780492,0.0023261446199976943,0.0552913856021231,
5,CREDIT_RATING_F,0.2473392632704042,,CREDIT_RATING,1.0,5,0.6954972513743128,3.0963175937188985,0.007211394302848451,0.02211655424084924,
6,BUBBLES_Pickup Trucks and Politics,0.2312456011330983,,BUBBLES,1.0,6,0.6967381693768501,3.0410262081167754,0.001240918002537228,-0.0552913856021231,
7,NET_WORTH_D,0.2035854019273836,,NET_WORTH,1.0,7,0.7012899319570984,3.0520844852372,0.004551762580248364,0.01105827712042462,
8,BUBBLES_Keeping Up With The Joneses,0.1920895943398765,,BUBBLES,1.0,8,0.7023151885595665,3.107375870839323,0.0010252566024681053,0.0552913856021231,
9,AGE_25-34,0.1877771166790299,,AGE,1.0,9,0.6975250836120401,3.0410262081167754,-0.004790104947526408,-0.06634966272254772,
10,BUBBLES_Life in the Fast Lane,0.1821588964675122,,BUBBLES,1.0,10,0.7092774766462923,3.0852593165984743,0.011752393034252129,0.044233108481698924,
11,High_Ticket_Home_Decor_Recency_of_Purchase,0.1820292423666058,,High_Ticket_Home_Decor_Recency_of_Purchase,1.0,11,0.7436543266828126,3.0520844852372,0.03437685003652036,-0.033174831361274304,
12,BUBBLES_Greatest Generation,0.1775478085958144,,BUBBLES,1.0,12,0.744638642217353,3.0299679309963508,0.0009843155345403698,-0.02211655424084924,
13,BUBBLES_Jet Setters,0.1738757657338107,,BUBBLES,1.0,13,0.7615882443393689,3.1184341479597477,0.016949602122015905,0.08846621696339696,
14,CREDIT_RATING_H,0.1712661383299467,,CREDIT_RATING,1.0,14,0.7623520931841772,3.107375870839323,0.0007638488448082903,-0.01105827712042462,
15,BUBBLES_Modern Family,0.1705719645812271,,BUBBLES,1.0,15,0.7628241648406566,3.0963175937188985,0.0004720716564794447,-0.01105827712042462,
16,HOME_VALUE_D,0.1677456674714588,,HOME_VALUE,1.0,16,0.763309306885019,3.107375870839323,0.0004851420443623411,0.01105827712042462,
17,BUBBLES_Family Values,0.1639195934317661,,BUBBLES,1.0,17,0.7638511513474033,3.107375870839323,0.0005418444623843666,0.0,
18,GENDER_M,0.1600650228866236,,GENDER,1.0,18,0.7637761888286626,3.162667256441446,-7.496251874072879e-05,0.0552913856021231,
19,Purchase_Date_Range,0.1552583647617132,,Purchase_Date_Range,1.0,19,0.7644156767769961,3.1184341479597477,0.0006394879483334615,-0.04423310848169848,
20,BUBBLES_Social Climbers,0.1550300931072505,,BUBBLES,1.0,20,0.7623290277937954,3.1184341479597477,-0.0020866489832006563,0.0,
21,BUBBLES_Date Nights City Lights,0.1516122928018683,,BUBBLES,1.0,21,0.7593065005958559,3.1516089793210216,-0.003022527197939495,0.03317483136127386,
22,BUBBLES_Not in My Backyard,0.1510509777944004,,BUBBLES,1.0,22,0.7597556990735401,3.184783810682296,0.0004491984776842095,0.033174831361274304,
23,BUBBLES_Working for the Weekend,0.1509326093976469,,BUBBLES,1.0,23,0.7629698612232345,3.1737255335618713,0.0032141621496943884,-0.01105827712042462,
24,HOMEOWNER_H,0.1473658241972744,,HOMEOWNER,1.0,24,0.7826748164379349,3.19584208780272,0.019704955214700393,0.022116554240848796,
25,HOME_VALUE_C,0.1438175577327309,,HOME_VALUE,1.0,25,0.7829004728405028,3.206900364923145,0.00022565640256788644,0.011058277120425064,
26,BUBBLES_Single Sophisticates,0.1436144442515082,,BUBBLES,1.0,26,0.7847320570483989,3.2511334734048436,0.0018315842078960864,0.04423310848169848,
27,NET_WORTH_I,0.141930813115565,,NET_WORTH,1.0,27,0.7872156229577519,3.295366581886542,0.002483565909353058,0.04423310848169848,
28,BUBBLES_Local Legends,0.1418586163829041,,BUBBLES,1.0,28,0.7875098988967055,3.295366581886542,0.00029427593895359205,0.0,
29,BUBBLES_Urban Elites,0.140656848369518,,BUBBLES,1.0,29,0.7927811094452774,3.3174831361273913,0.005271210548571825,0.02211655424084924,
30,BUBBLES_Suburban Socialites,0.1319598456784303,,BUBBLES,1.0,30,0.7901904816822357,3.3064248590069663,-0.002590627763041642,-0.011058277120425064,
31,PRES_KIDS_True,0.1312203043553514,,PRES_KIDS,1.0,31,0.7920799215776726,3.328541413247816,0.001889439895436884,0.022116554240849684,
32,NET_WORTH_H,0.1283402095301697,,NET_WORTH,1.0,32,0.7918900165301964,3.3395996903682406,-0.00018990504747617987,0.01105827712042462,
33,HH_INCOME_P,0.1261177706517762,,HH_INCOME,1.0,33,0.7929719755506861,3.3395996903682406,0.0010819590204896867,0.0,
34,NET_WORTH_A,0.1252332056102706,,NET_WORTH,1.0,34,0.7927015338484603,3.3174831361273913,-0.00027044170222578767,-0.02211655424084924,
35,HOME_VALUE_U,0.1219017633351115,,HOME_VALUE,1.0,35,0.7938202052819745,3.3506579674886656,0.0011186714335141845,0.033174831361274304,
36,BUBBLES_Single and Thriving,0.1172474360301444,,BUBBLES,1.0,36,0.7987329412216968,3.428065907331638,0.004912735939722301,0.07740793984297234,
37,BUBBLES_Fast Food Families,0.1112481192867016,,BUBBLES,1.0,37,0.7988794064506208,3.428065907331638,0.0001464652289240309,0.0,
38,HH_INCOME_F,0.1093738568291326,,HH_INCOME,1.0,38,0.7951357013800792,3.4944155700541857,-0.0037437050705416697,0.06634966272254772,
39,Kitchen_and_Bath_Recency_of_Purchase,0.1068663155270852,,Kitchen_and_Bath_Recency_of_Purchase,1.0,39,0.7904707261753738,3.52759040141546,-0.004664975204705324,0.033174831361274304,
40,BUBBLES_Downtown Dreamers,0.1048956468836842,,BUBBLES,1.0,40,0.7882418406181524,3.538648678535884,-0.0022288855572214494,0.011058277120424176,
41,BUBBLES_Single and Strategic,0.1040091556444909,,BUBBLES,1.0,41,0.7899254219044323,3.5165321242950345,0.0016835812862798782,-0.022116554240849684,
42,HOME_VALUE_H,0.1038210836006396,,HOME_VALUE,1.0,42,0.7910273709299197,3.5165321242950345,0.0011019490254874365,0.0,
43,AGE_18-24,0.1015131837576225,,AGE,1.0,43,0.7912609080075347,3.5165321242950345,0.00023353707761497589,0.0,
44,BUBBLES_Hometown Heroes,0.0965974634584142,,BUBBLES,1.0,44,0.791812170837658,3.52759040141546,0.0005512628301233002,0.011058277120425508,
45,PART_AFFILIATION_I,0.0934167878082651,,PART_AFFILIATION,1.0,45,0.7890966055433821,3.52759040141546,-0.002715565294275857,0.0,
46,PART_AFFILIATION_MISSING,0.0906017218563889,,PART_AFFILIATION,1.0,46,0.7886800830354054,3.593940064138007,-0.0004165225079767465,0.06634966272254683,
47,BUBBLES_Trade School Success Stories,0.0892919855835853,,BUBBLES,1.0,47,0.788741206319917,3.5828817870175826,6.112328451157722e-05,-0.011058277120424176,
48,BUBBLES_Senior Elite,0.0866411201628923,,BUBBLES,1.0,48,0.786297235997386,3.593940064138007,-0.002443970322530964,0.011058277120424176,
49,HH_INCOME_H,0.0838723558105406,,HH_INCOME,1.0,49,0.7877090301003344,3.549706955656309,0.0014117941029484493,-0.044233108481698036,
50,BUBBLES_Home for the Holidays,0.0837943171196148,,BUBBLES,1.0,50,0.7882339599431054,3.549706955656309,0.0005249298427709714,0.0,
51,BUBBLES_Single and Surviving,0.0823753787774705,,BUBBLES,1.0,51,0.7897641563833468,3.549706955656309,0.001530196440241438,0.0,
52,BUBBLES_Wealth Whispers,0.0799983950162055,,BUBBLES,1.0,52,0.7901061007957559,3.5828817870175826,0.0003419444124090898,0.03317483136127386,
53,CREDIT_RATING_B,0.079463060753471,,CREDIT_RATING,1.0,53,0.7915253911505786,3.5828817870175826,0.0014192903548226887,0.0,
54,BUBBLES_Penny Pinching Couples,0.0767264696957296,,BUBBLES,1.0,54,0.7904286318379272,3.638173172619706,-0.0010967593126514075,0.055291385602123544,
55,HH_INCOME_I,0.0729788803553754,,HH_INCOME,1.0,55,0.7920005381924422,3.6049983412584323,0.0015719063545149847,-0.03317483136127386,
56,HOME_VALUE_P,0.0721194897595736,,HOME_VALUE,1.0,56,0.7931063314496597,3.560765232776733,0.0011057932572174911,-0.04423310848169937,
57,HOME_VALUE_B,0.0696800277140791,,HOME_VALUE,1.0,57,0.794785876292623,3.560765232776733,0.0016795448429632875,0.0,
58,AGE_75+,0.0667596655665343,,AGE,1.0,58,0.7967443201476185,3.571823509897158,0.0019584438549955507,0.011058277120425064,
